title,address,district,city,description,area,bedroom,bathroom,price,price_change,house_direction,balcony_direction,legal_paper,furniture,coor
Mễ Trì: Kịch thủ dòng tiền - 27 phòng - 150m2 - giá cực đầu tư - chỉ 128 triệu/m² - ko có căn thứ 2,"['đường Mễ Trì', 'Phường Mễ Trì']",Nam Từ Liêm,Hà Nội,"+ Toà căn hộ 27 phòng cho thuê, trang bị cơ bản. Tất cả các phòng đều có cửa sổ thoáng, dòng tiền 100 triệu/tháng.+ Trang bị thiết bị PCCC, cửa thép ngăn cháy lan, toàn bộ phòng có cửa sổ thoáng.+ Sổ đỏ chính chủ, chủ nhà cần tiền thiện chí sớm.+ Khách mua có thể sắm thêm đồ, sửa lại một chút để tăng dòng tiền cho thuê.",150.0,27 phòng,,,30.6,,,"+ Sổ đỏ chính chủ, chủ nhà cần tiền thiện chí sớm.","+ Trang bị thiết bị PCCC, cửa thép ngăn cháy lan, toàn bộ phòng có cửa sổ thoáng. Trang bị cơ bản.",21.0118765 105.7758022
"Bán căn hộ dịch vụ phố Chính Kinh - DT 45m x 5T - chỉ 7,799 tỷ - Nguyễn Trãi - Quận Thanh Xuân","['Phố Chính Kinh', 'Phường Nhân Chính']",Thanh Xuân,Hà Nội,Toà căn hộ dịch vụ Chính Kinh 45m² x 5 tầng - 9 phòng khép kín full đồ - dòng tiền 540 triệu/ năm - sát mặt phố - sổ đỏ xịn nét căng.Dt 45m x 5T - chỉ 7.799 tỷ nhà phố Chính Kinh - Nguyễn Trãi - Quận Thanh Xuân.Lh: 0908 888 *** - hoặc zalo em Dung 0349 666 ***.Chuyên thổ cư các quận Hà Nội.,45.0,9 phòng,,7.8,24.7,,,Sổ đỏ/ Sổ hồng,,20.9993894 105.8113464
Giá chuẩn chủ nhà! Căn hộ Mễ Trì Hạ - vị trí tiện lợi - TT Nam Từ Liêm - 64.3m2 * 2PN + 2VS,"['Dự án KĐT Mễ Trì Hạ', 'Đường Phạm Hùng', 'Phường Mễ Trì']",Nam Từ Liêm,Hà Nội,"Căn hộ Mễ Trì Hạ - trung tâm Quận Nam Từ Liêm - gần trường học Lomonoxop - vị trí đi lại thuận tiện.Mô tả:+ Nằm tại mặt đường Phạm Hùng, Nam Từ Liêm.+ Thiết kế 2 phòng ngủ, 2 vệ sinh.+ Thiết kế cực đẹp, chủ hoàn thiện toàn đồ xịn sò. Để lại 80% nội thất. Vào nhà cực đẹp, vượng khí, mùa hè mát mẻ, mùa đông ấm áp.+ Diện tích sổ đỏ 64,3 m².+ Sổ đỏ lâu dài.+ Giá chỉ 3,5 tỷ để sở hữu 1 căn hộ Mễ Trì Hạ siêu tiện ích.Liên hệ (Call/Zalo/Mess) 0902 829 *** Đông.",64.3,2 phòng,2 phòng,3.5,48.6,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,21.0149936676025 105.782699584961
Chính chủ cần bán gấp căn hộ studio diện tích 35m2 giá 1.55 tỷ Vinhomes Smart city,"['Dự án The Sapphire-Vinhomes Smart City', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội,"Tôi có căn hộ Studio tại Vinhomes Smart City. (DT TT 31.7m²).Căn hộ thuộc tầng 06 view ngoại khu, thoáng mát.Nội thất nguyên bản CĐT, khách mua chỉ cần setup thêm nội thất.Căn hộ về cơ bản là vẫn mới, ko phải sửa sang gì.Đã có sổ, yên tâm pháp lý.Lh 0913 329 ***",35.0,1 phòng,1 phòng,1.55,0.0,,,Sổ đỏ/ Sổ hồng.,Cơ bản.,21.006216049194336 105.7364730834961
Bán gấp căn 2PN 1VS tòa S1 tầng cao view thoáng tại Vinhomes Ocean Park LH 0986 784 ***,"['Dự án Vinhomes Ocean Park Gia Lâm', 'Xã Dương Xá']",Gia Lâm,Hà Nội,"Chính chủ cần bán 2PN, 1WC giá rẻ nhất Ocean Park ở thời điểm hiện tại.- Diện tích căn hộ: 55,3m² diện tích thông thủy 60,1m².- Thiết kế căn hộ: Căn hộ được thiết kế vô cùng hợp lý với 2 phòng ngủ sáng vuông vắn, 2 vệ sinh, phòng khách rộng thoáng có lô gia,...- Nội thất xịn xò Luxury.- Giá bán: 2,35 tỷ.- Liên hệ xem nhà trực tiếp: 0986 784 *** em Hoa.",55.3,2 phòng,1 phòng,2.35,31.3,Đông - Bắc,Đông - Nam,Sổ đỏ,Đầy đủ.,21.0024147033691 105.964111328125
"75m 4 tỷ 6, chính chủ bán chung cư Đống Đa, phố Hoàng Cầu, TĐC Hoàng Cầu","['Dự án TĐC Hoàng Cầu', 'Phố Hoàng Cầu', 'Phường Ô Chợ Dừa']",Đống Đa,Hà Nội,"Bán căn hộ đẹp mới nhận bàn giao 2021, chungcuban bán năm 2018, sửa đẹp nội thất xịn, căn duy nhất có sân trời hơn 10m². Sổ đỏ chính chủ sẵn sang tên tại CT2 Hoàng Cầu cạnh tòa Tân Hoàng Minh, ngay hồ Hoàng Cầu, mặt phố Nguyễn Phúc Lai, trung tâm Quận Đống Đa... Đây là chungcuban hợp lý nhất Quận Đống Đa với dòng tiền cho thuê đạt dưới 25 năm thu hồi vốn. LH chính chủ banchungcu 0989 981 ***",75.0,2 phòng,2 phòng,4.6,45.6,Đông - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,21.0194473266602 105.821655273438
"Chính chủ cần bán chuyển nhượng lại căn studio full nội thất chỉ 1,6 tỷ, LH: 0963 882 ***","['Dự án The Sapphire-Vinhomes Smart City', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội,"Gia đình tôi có căn studio tại Vinhomes Smart City cần bán chuyển nhượng lại. Tại phân khu S4.Nhà đã làm nội thất đầy đủ: Hệ thống tủ bếp, bếp từ hút mùi, ti vi. Tủ lạnh, máy giặt, giường tủ bàn ghế sofa. Nhà làm nội thất tốt để ở.Nay cần bán để chuyển đổi căn rộng hơn.Thông tin chi tiết vui lòng liên hệ: 0963 882 ***",31.7,1 phòng,1 phòng,1.6,0.0,,,Sổ đỏ/ Sổ hồng,"Đầy đủ Nhà đã làm nội thất đầy đủ: Hệ thống tủ bếp, bếp từ hút mùi, ti vi. Tủ lạnh, máy giặt, giường tủ bàn ghế sofa. Nhà làm nội thất tốt để ở.",21.0062160491943 105.736473083496
Bán cắt lỗ căn 2PN 1WC Vinhomes Smart City. 2 tỷ 350. LH: 0963 877 ***,"['Dự án The Sapphire-Vinhomes Smart City', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội,"- Chú tôi cần tiền chuyển nhà mặt đất, bán cắt lỗ căn 2PN 1WC Vinhomes Smart City.- DT 54m², thiết kế tối ưu, tối đa công năng sử dụng, ban công rộng rãi, thoáng mát.- Nhà sẵn sổ đỏ giao dịch, có gia lộc cho khách thiện chí.- Giá 2.35 tỷ.- Tầng trung đẹp.- LH xem nhà: 0963 877 *** e Hùng, call, zalo, 24/7.",54.0,2 phòng,1 phòng,2.35,0.0,,,"- Nhà sẵn sổ đỏ giao dịch, có gia lộc cho khách thiện chí.","Thiết kế tối ưu, tối đa công năng sử dụng, ban công rộng rãi, thoáng mát.",21.006216049194336 105.7364730834961
"Chính chủ bán gấp căn căn 54,8m2 - 2.650 tỷ, Đông Nam Vin Smart City","['Dự án The Miami', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội,"Gia đình mình cần bán gấp căn hộ Vinhomes Smart City:1/ Căn hộ diện tích 54,8m², thiết kế: 2PN - 1VS, tầng 24, nội thất liền tường, ban công Đông Nam view đẹp.Giá bán: 2,650 tỷ có thương lượng.Gia đình thiện chí bán, anh chị có nhu cầu mua liên hệ mình, giá cả thương lượng, có gia lộc thêm.",54.8,2 phòng,1 phòng,2.65,37.4,,,Sổ đỏ / Sổ hồng,,21.006574630737305 105.74504852294922
"Tôi bán gấp căn 1PN + 46m2, 2 tỷ bao phí, tầng đẹp, full đồ đầu tư hơn 250tr, sẵn sổ (DTTT 42.8m2)","['Dự án The Sapphire-Vinhomes Smart City', 'Phường Tây Mỗ']",Nam Từ Liêm,Hà Nội,Mình cần tiền kinh doanh nên cần bán nhanh căn 1PN + tòa Sapphire.DT: 46m² (DTTT: 42.8m²).Nội thất: Đầy đủ đồ chỉ thiếu chủ mới.Hướng: Đông Nam.Giá bán: 2 tỷ bao thuế phí.Alo mình để xem nhà: A Cương 0968 177 ***,46.0,1 phòng,,2.0,0.0,Đông - Nam,,,,21.006216049194336 105.7364730834961
